TeamId,Name,Tag,Region,EstablishedDate
7822261,Yolo Knight,yK-,Unknown,2000-01-01
4958284,Greedy Goblins,GG,Unknown,2000-01-01
6382770,Nikcastrum,NC,Unknown,2000-01-01
9256136,Bammysoy,BS,Unknown,2000-01-01
7543171,Manaburn,Manaburn,Unknown,2000-01-01
8375466,Motivate. Viper Gaming,MVG,Unknown,2000-01-01
8850016,FLYING FORTUNE,Ff,Unknown,2000-01-01
9455993,повер ренджерс,,Unknown,2000-01-01
9079901,The last dark,,Unknown,2000-01-01
9229377,DemiGods,DG,Unknown,2000-01-01
10088088,Team stariy bog,stariy bog,Unknown,2000-01-01
2850822,King Arthur & 4 Knights,KaK,Unknown,2000-01-01
8927141,tatladderclan,tatladder,Unknown,2000-01-01
9330146,Sporkface Killaz Div2,,Unknown,2000-01-01
6953026,Butterfly Effec,bfLy,Unknown,2000-01-01
9872667,Pipsqueak+4,PIPS4,Unknown,2000-01-01
9403748,Dragon Esports Club,DEC,Unknown,2000-01-01
3260216,Team HighGround,HG,Unknown,2000-01-01
484909,Hyper Glory Team,HGT,Unknown,2000-01-01
7443956,Black Knight,,Unknown,2000-01-01
9098294,Carstensz Esports,Carstensz,Unknown,2000-01-01
9216658,Lion Lover,LL,Unknown,2000-01-01
8496219,Khan esports,Khan,Unknown,2000-01-01
9554242,Play for Fun,P4F,Unknown,2000-01-01
8597509,Teletubbies,,Unknown,2000-01-01
8701706,Zorka,Zorka,Unknown,2000-01-01
9381358,Estar Backs!,EBs,Unknown,2000-01-01
883783,Stay - Free,sF,Unknown,2000-01-01
7137328,Team Anvorgesa,anvorgza,Unknown,2000-01-01
7472412,Park Bo Cuan,PBC,Unknown,2000-01-01
3725701,Happy  Feet,HF,Unknown,2000-01-01
8975618,Old But Gold,OBG,Unknown,2000-01-01
8927441,INFINITY,,Unknown,2000-01-01
5231224,Rex Regum Qeon,RR.QEON,Unknown,2000-01-01
9928746,Most Wanted,MW,Unknown,2000-01-01
7498762,Team Oracle.YOUTH,OCY,Unknown,2000-01-01
9247260,YodiBrodi Nexus Future,YodiBrodi,Unknown,2000-01-01
1616631,Flip.Sid3 Tactics NA,F3.NA,Unknown,2000-01-01
1288401,R A V E N,Raven,Unknown,2000-01-01
1736743,Elysium!,Elysium,Unknown,2000-01-01
9352756,Me Parb,MP,Unknown,2000-01-01
9790570,nouns,nouns,Unknown,2000-01-01
2833354,Vici Gaming Potential,VG.P,Unknown,2000-01-01
2257957,LINCENCIADOS,LINCES,Unknown,2000-01-01
7913999,Midas Club,Midas,Unknown,2000-01-01
